name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,VDF_fftt1
South Farmer Avenue,51,305490063,58,59,,139.7313455,1,25,1000,residential,6,"LINESTRING (-111.9442661 33.4218936, -111.944256 33.421843, -111.9442502 33.4217971, -111.9442462 33.4217045, -111.9442507 33.4213791, -111.9442504 33.4211204, -111.9442498 33.420638)",auto,1,0.335355229
West University Drive,52,436794687,58,276,,31.91750648,2,40,1000,primary,3,"LINESTRING (-111.9442661 33.4218936, -111.9439222 33.4218959)",auto,1,0.04787626
West University Drive,53,436794688,58,277,,36.40864956,2,40,1000,primary,3,"LINESTRING (-111.9442661 33.4218936, -111.9446584 33.4218949)",auto,1,0.054612974
West 9th Street,54,5669181,59,11,,69.62524471,1,29,1000,residential,6,"LINESTRING (-111.9442498 33.420638, -111.945 33.420639)",auto,1,0.14405223
South Farmer Avenue,55,305490063,59,58,,139.7313455,1,25,1000,residential,6,"LINESTRING (-111.9442498 33.420638, -111.9442504 33.4211204, -111.9442507 33.4213791, -111.9442462 33.4217045, -111.9442502 33.4217971, -111.944256 33.421843, -111.9442661 33.4218936)",auto,1,0.335355229
South Farmer Avenue,56,305490063,59,60,,32.21317025,1,25,1000,residential,6,"LINESTRING (-111.9442498 33.420638, -111.9442498 33.4203483)",auto,1,0.077311609
South Farmer Avenue,57,305490063,60,59,,32.21317025,1,25,1000,residential,6,"LINESTRING (-111.9442498 33.4203483, -111.9442498 33.420638)",auto,1,0.077311609
South Farmer Avenue,58,305490063,60,61,,105.2364725,1,25,1000,residential,6,"LINESTRING (-111.9442498 33.4203483, -111.9442466 33.4200963, -111.944246 33.4194019)",auto,1,0.252567534
West 9th Street,59,778414508,60,121,,64.5563236,1,25,1000,residential,6,"LINESTRING (-111.9442498 33.4203483, -111.9438355 33.4203468, -111.9437786 33.4203484, -111.9437235 33.4203539, -111.9436733 33.4203632, -111.9436256 33.4203768, -111.9435657 33.4204019)",auto,1,0.154935177
West 10th Street,60,5608312,61,6,,69.97886897,1,29,1000,residential,6,"LINESTRING (-111.944246 33.4194019, -111.945 33.4194026)",auto,1,0.144783867
South Farmer Avenue,61,305490063,61,60,,105.2364725,1,25,1000,residential,6,"LINESTRING (-111.944246 33.4194019, -111.9442466 33.4200963, -111.9442498 33.4203483)",auto,1,0.252567534
South Farmer Avenue,62,305490063,61,62,,53.87398484,1,25,1000,residential,6,"LINESTRING (-111.944246 33.4194019, -111.9442456 33.4191934, -111.9442454 33.4190374, -111.9442453 33.4189174)",auto,1,0.129297564
South Farmer Avenue,63,305490063,62,61,,53.87398484,1,25,1000,residential,6,"LINESTRING (-111.9442453 33.4189174, -111.9442454 33.4190374, -111.9442456 33.4191934, -111.944246 33.4194019)",auto,1,0.129297564
South Farmer Avenue,64,305490063,62,63,,126.1062335,1,25,1000,residential,6,"LINESTRING (-111.9442453 33.4189174, -111.9442451 33.4187505, -111.9442449 33.4185663, -111.9442446 33.4183228, -111.9442439 33.4177833)",auto,1,0.30265496
West 10th Street,65,5608313,62,247,,63.90501321,1,29,1000,residential,6,"LINESTRING (-111.9442453 33.4189174, -111.943884 33.4189205, -111.9438168 33.4189228, -111.9437511 33.4189279, -111.9436854 33.4189363, -111.9436632 33.4189424, -111.9436258 33.4189528, -111.9435652 33.4189718)",auto,1,0.132217269
West 11th Street,66,5691748,63,12,,70.17689868,1,29,1000,residential,6,"LINESTRING (-111.9442439 33.4177833, -111.9443299 33.4177838, -111.9448141 33.4177868, -111.945 33.4177879)",auto,1,0.145193583
South Farmer Avenue,67,305490063,63,62,,126.1062335,1,25,1000,residential,6,"LINESTRING (-111.9442439 33.4177833, -111.9442446 33.4183228, -111.9442449 33.4185663, -111.9442451 33.4187505, -111.9442453 33.4189174)",auto,1,0.30265496
South Farmer Avenue,68,305490063,63,64,,106.8699663,1,25,1000,residential,6,"LINESTRING (-111.9442439 33.4177833, -111.9442432 33.4172052, -111.944241 33.4168222)",auto,1,0.256487919
West Howe Street,69,5640993,64,8,,70.44556337,1,29,1000,residential,6,"LINESTRING (-111.944241 33.4168222, -111.9443327 33.4168225, -111.9448138 33.4168241, -111.945 33.4168248)",auto,1,0.145749441
South Farmer Avenue,70,305490063,64,63,,106.8699663,1,25,1000,residential,6,"LINESTRING (-111.944241 33.4168222, -111.9442432 33.4172052, -111.9442439 33.4177833)",auto,1,0.256487919
South Farmer Avenue,71,305490063,64,65,,83.88547857,1,25,1000,residential,6,"LINESTRING (-111.944241 33.4168222, -111.9442407 33.4165478, -111.9442405 33.4163013, -111.9442404 33.4162081, -111.9442403 33.4160678)",auto,1,0.201325149
West 12th Street,72,5662410,65,10,,70.51083584,1,29,1000,residential,6,"LINESTRING (-111.9442403 33.4160678, -111.9448136 33.4160691, -111.945 33.4160696)",auto,1,0.145884488
South Farmer Avenue,73,305490063,65,26,,118.7341517,1,25,1000,residential,6,"LINESTRING (-111.9442403 33.4160678, -111.9442386 33.4153056, -111.9442379 33.415)",auto,1,0.284961964
South Farmer Avenue,74,305490063,65,64,,83.88547857,1,25,1000,residential,6,"LINESTRING (-111.9442403 33.4160678, -111.9442404 33.4162081, -111.9442405 33.4163013, -111.9442407 33.4165478, -111.944241 33.4168222)",auto,1,0.201325149
East 6th Street,75,5591077,66,144,,6.488351989,1,29,1000,residential,6,"LINESTRING (-111.9304264 33.4231268, -111.930412 33.4231839)",auto,1,0.013424177
East Veterans Way,76,30031703,66,145,,12.57914162,1,30,1000,tertiary,5,"LINESTRING (-111.9304264 33.4231268, -111.9305248 33.4232046)",auto,0,0.025158283
East Veterans Way,77,30031644,66,351,,96.62929503,1,30,1000,tertiary,5,"LINESTRING (-111.9304264 33.4231268, -111.9303102 33.4231118, -111.9301089 33.4230616, -111.9299067 33.4229799, -111.9295421 33.4227616, -111.9295097 33.4227418)",auto,1,0.19325859
East 6th Street,78,544548410,67,52,,147.8170069,1,29,1000,residential,6,"LINESTRING (-111.9290798 33.4242989, -111.9289046 33.4243452, -111.9287135 33.4243933, -111.928643 33.4244053, -111.9283655 33.4244526, -111.9282474 33.4244664, -111.9281214 33.4244812, -111.9278961 33.424498, -111.9276205 33.4245014, -111.9275146 33.4245016)",auto,1,0.30582829
South Packard Drive,79,5630444,67,110,,486.7013023,1,29,1000,unclassified,11,"LINESTRING (-111.9290798 33.4242989, -111.9291154 33.4243892, -111.9292331 33.4246528, -111.9292598 33.4248052, -111.92926 33.4248931, -111.9292601 33.4249516, -111.929282 33.4267113, -111.929292 33.4273267, -111.9293027 33.4279796, -111.9293051 33.4285424, -111.9293052 33.4285703, -111.9293057 33.4286516)",auto,1,1.006968212
East 6th Street,80,5591077,67,157,,191.8163213,1,29,1000,residential,6,"LINESTRING (-111.9290798 33.4242989, -111.9292198 33.4242567, -111.929663 33.424109, -111.929686 33.4241011, -111.9301123 33.4239534, -111.9301639 33.4239305, -111.9302129 33.4238974, -111.930243 33.4238667, -111.9302813 33.4238045, -111.9302973 33.4237531, -111.9303108 33.4236887, -111.9303882 33.423295, -111.9304005 33.4232277)",auto,1,0.396861354
East  Packard Drive,81,872138141,67,424,,213.3865421,1,29,1000,unclassified,11,"LINESTRING (-111.9290798 33.4242989, -111.9290627 33.4242318, -111.9287539 33.4236069, -111.9286792 33.4234783, -111.9285811 33.4233769, -111.9284457 33.4233341, -111.9275107 33.4233377)",auto,1,0.441489397
East 6th Street,82,544548410,68,207,,14.63715769,1,29,1000,residential,6,"LINESTRING (-111.9262237 33.4245026, -111.9263814 33.4245047)",auto,1,0.030283775
South Rural Road,83,264834598,68,330,,334.3530442,3,35,1000,primary,3,"LINESTRING (-111.9262237 33.4245026, -111.9262235 33.4245838, -111.9262174 33.4268401, -111.9262149 33.4275095)",auto,0,0.573176647
East 6th Street,84,305490058,69,189,,11.72188832,1,25,1000,residential,6,"LINESTRING (-111.9400786 33.4243437, -111.9399523 33.4243448)",auto,1,0.028132532
West 6th Street,85,5591085,69,242,,110.2443794,1,25,1000,residential,6,"LINESTRING (-111.9400786 33.4243437, -111.9407083 33.4243409, -111.9412665 33.4243385)",auto,1,0.264586511
South Mill Avenue,86,436791496,69,263,,99.72807416,2,30,1000,primary,3,"LINESTRING (-111.9400786 33.4243437, -111.9400646 33.4234469)",auto,0,0.199456148
East 6th Street,87,305490058,70,189,,75.21969479,1,25,1000,residential,6,"LINESTRING (-111.9391418 33.4243489, -111.939833 33.4243454, -111.9399523 33.4243448)",auto,1,0.180527268
South Forest Avenue,88,223225595,71,111,,126.7757648,1,25,1000,residential,6,"LINESTRING (-111.936666 33.4243591, -111.9366683 33.4244745, -111.9366697 33.4248479, -111.9366717 33.4253795, -111.9366718 33.4253943, -111.9366724 33.4254992)",auto,1,0.304261836
South Forest Avenue,89,223225595,71,114,,128.2435929,1,25,1000,residential,6,"LINESTRING (-111.936666 33.4243591, -111.9366669 33.4242409, -111.9366703 33.423784, -111.9366737 33.4233232, -111.9366746 33.4232058)",auto,1,0.307784623
East 6th Street,90,5591100,71,125,,156.809563,1,25,1000,residential,6,"LINESTRING (-111.936666 33.4243591, -111.9365605 33.4243597, -111.9362338 33.4243617, -111.9358561 33.4243639, -111.9355078 33.424366, -111.9353948 33.4243414, -111.9353091 33.4243324, -111.9350964 33.4243366, -111.9349809 33.4243346)",auto,1,0.376342951
East 6th Street,91,5591100,71,199,,89.78103657,1,25,1000,residential,6,"LINESTRING (-111.936666 33.4243591, -111.9367572 33.424359, -111.9373581 33.4243583, -111.9375509 33.4243581, -111.9376334 33.4243567)",auto,1,0.215474488
West University Drive,92,436794696,72,279,,45.0487848,2,35,1000,primary,3,"LINESTRING (-111.9412608 33.4219305, -111.9417462 33.4219298)",auto,1,0.077226488
West University Drive,93,436794696,72,280,,47.61057672,2,35,1000,primary,3,"LINESTRING (-111.9412608 33.4219305, -111.9407478 33.4219322)",auto,1,0.081618132
South Maple Avenue,94,5591429,72,404,,156.6138079,1,29,1000,residential,6,"LINESTRING (-111.9412608 33.4219305, -111.9412432 33.4213251, -111.9412418 33.4212879, -111.9412404 33.4212296, -111.9412399 33.4211998, -111.9412309 33.4205714, -111.94123 33.4205223)",auto,1,0.324028568
South Maple Avenue,95,778414511,73,74,,159.2993754,1,29,1000,residential,6,"LINESTRING (-111.9412375 33.4190521, -111.9412372 33.4189818, -111.94123 33.4176195)",auto,1,0.329584915
West 10th Street,96,5608313,73,78,,107.3849767,1,29,1000,residential,6,"LINESTRING (-111.9412375 33.4190521, -111.9417794 33.4190532, -111.9418437 33.4190521, -111.9423945 33.4190482)",auto,1,0.222175814
West 10th Street,97,5608313,73,173,,112.2623909,1,29,1000,residential,6,"LINESTRING (-111.9412375 33.4190521, -111.9405973 33.4190507, -111.940488 33.4190526, -111.9404614 33.4190531, -111.9403101 33.4190557, -111.9401135 33.419054, -111.940028 33.4190552)",auto,1,0.232267016
South Maple Avenue,98,778414511,73,403,,154.9831879,1,29,1000,residential,6,"LINESTRING (-111.9412375 33.4190521, -111.9412228 33.4191313, -111.9412339 33.4200543, -111.9412317 33.4203907, -111.9412313 33.4204449)",auto,1,0.320654872
South Maple Avenue,99,778414511,74,73,,159.2993754,1,29,1000,residential,6,"LINESTRING (-111.94123 33.4176195, -111.9412372 33.4189818, -111.9412375 33.4190521)",auto,1,0.329584915
South Maple Avenue,100,778414511,74,75,,157.4135207,1,29,1000,residential,6,"LINESTRING (-111.94123 33.4176195, -111.941205 33.416204)",auto,1,0.325683146
West 11th Street,101,5691747,74,77,,113.4629164,1,25,1000,residential,6,"LINESTRING (-111.94123 33.4176195, -111.9418304 33.4176181, -111.9424525 33.4176183)",auto,1,0.272310999
West 11th Street,102,5691747,74,103,,110.810098,1,25,1000,residential,6,"LINESTRING (-111.94123 33.4176195, -111.9405903 33.4176159, -111.9405076 33.4176174, -111.9400362 33.4176249)",auto,1,0.265944235
South Maple Avenue,103,778414511,75,47,,133.8840454,1,29,1000,residential,6,"LINESTRING (-111.941205 33.416204, -111.9411921 33.415)",auto,1,0.277001473
South Maple Avenue,104,778414511,75,74,,157.4135207,1,29,1000,residential,6,"LINESTRING (-111.941205 33.416204, -111.94123 33.4176195)",auto,1,0.325683146
West 12th Street,105,5662409,75,76,,115.8260021,1,29,1000,residential,6,"LINESTRING (-111.941205 33.416204, -111.941821 33.4161933, -111.9424528 33.4161904)",auto,1,0.239640004
West 12th Street,106,5662409,75,104,,112.8262085,1,29,1000,residential,6,"LINESTRING (-111.941205 33.416204, -111.9405834 33.4162013, -111.9399894 33.4162047)",auto,1,0.233433535
South Ash Avenue,107,5594960,76,4,,132.3677025,1,29,1000,residential,6,"LINESTRING (-111.9424528 33.4161904, -111.9424528 33.4161632, -111.9424526 33.4160145, -111.9424525 33.4159781, -111.9424522 33.4157881, -111.9424521 33.4157344, -111.9424473 33.415)",auto,1,0.273864212
West 12th Street,108,5662409,76,75,,115.8260021,1,29,1000,residential,6,"LINESTRING (-111.9424528 33.4161904, -111.941821 33.4161933, -111.941205 33.416204)",auto,1,0.239640004
South Ash Avenue,109,5594960,76,77,,158.7765433,1,29,1000,residential,6,"LINESTRING (-111.9424528 33.4161904, -111.9424497 33.4169032, -111.9424492 33.4170136, -111.9424525 33.4176183)",auto,1,0.328503193
West 11th Street,110,5691747,77,74,,113.4629164,1,25,1000,residential,6,"LINESTRING (-111.9424525 33.4176183, -111.9418304 33.4176181, -111.94123 33.4176195)",auto,1,0.272310999
